id_resena,titulo,texto,veredicto
1,Muy Malo,Este juego viene directamente de Mordor,negativo
2,Y pensar que me perdí la boda de mi hija por este juego,Nooo el juego,negativo
3,"No me calza el precio con la calidad del juego, debería costar mucho más","Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene",positivo
4,"No me calza el precio con la calidad del juego, debería costar mucho más",No entiendo el motivo por el cual no han sacado una nueva entrega aún,positivo
5,Em... tenía final el juego?,Más malo que la pizza helada,negativo
6,Me encantaría saber si tiene una secuela,"Me encantó, nada más que decir",positivo
7,"No me calza el precio con la calidad del juego, debería costar mucho más",Me recuerda cuando era joven,positivo
8,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no","Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta",negativo
9,El mejor Juego del Mundo,Ahhhh... un manjarsh,positivo
10,Nisiquiera la mejor de las odas podría describir este juego,No entiendo el motivo por el cual no han sacado una nueva entrega aún,positivo
11,"No es malo, no, es malísimo",Peor que mis laboratorios con margen de error del 1000%,negativo
12,Vine buscando cobre y encontré oro,No entiendo el motivo por el cual no han sacado una nueva entrega aún,positivo
13,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Nooo el juego,negativo
14,Parace una broma que existe un juego como este,No logré comprender la idea del juego,negativo
15,Es más malo que malini,Muy facil y muy caro para las horas efectivas de juego,negativo
16,Peor que no ir vestido de traje a un bar,Este juego viene directamente de Mordor,negativo
17,Parace una broma que existe un juego como este,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
18,"Si este juego fuera One Piece, me vería los 1000 episodios","Todos hablan del New World pero no tienen ni idea de este juego, ni colas tiene",positivo
19,Pensar que me entusiasmó en un principio...,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
20,Se podrá solicitar la devolución del tiempo perdido en este juego?,La dificultad es terriblemente alta,negativo
21,"Si este juego fuera One Piece, me vería los 1000 episodios",Me recuerda cuando era joven,positivo
22,Me encantaría saber si tiene una secuela,"Consistente, repleto de contenido, soprendentemente bueno",positivo
23,Es más malo que malini,La dificultad es terriblemente alta,negativo
24,No sé como logró subir por los 9 círculos del infierno este juego,Cómo arruinar tu vida en 1 simple paso: compra este juego,negativo
25,El mejor Juego del Mundo,Interesante,positivo
26,Es el guaripolo de los videojuegos,"Consistente, repleto de contenido, soprendentemente bueno",positivo
27,Vine buscando cobre y encontré oro,No puedo creer que no haya jugado esto antes,positivo
28,Horas de diversión,"Me acabo de echar 3 ramos, pero valió la pena",positivo
29,Pero que ofertón,A mi hijo le encanta,positivo
30,Em... tenía final el juego?,Este juego viene directamente de Mordor,negativo
31,"No decepciona, incluso sorprende",No puedo creer que no haya jugado esto antes,positivo
32,Me soprende que no tenga más premios,"Consistente, repleto de contenido, soprendentemente bueno",positivo
33,Me soprende que no tenga más premios,Horas de diversión para amigos y familia,positivo
34,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Más malo que la pizza helada,negativo
35,"No es malo, no, es malísimo",No logré comprender la idea del juego,negativo
36,Muy Malo,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días,negativo
37,Se podrá solicitar la devolución del tiempo perdido en este juego?,Terriblemente malo,negativo
38,Y pensar que me perdí la boda de mi hija por este juego,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días,negativo
39,No entiendo por qué no regalan este juego,Muy malo,negativo
40,No entiendo por qué no regalan este juego,Nooo el juego,negativo
41,Increíble nada más que decir,"Consistente, repleto de contenido, soprendentemente bueno",positivo
42,Peor juego,Honestamente prefiero jugar a mirar el techo,negativo
43,Es el guaripolo de los videojuegos,"A decir verdad, encuentro que este videojuego va a revolucionar todo el género",positivo
44,Es más malo que malini,Peor que mis laboratorios con margen de error del 1000%,negativo
45,Es más malo que malini,La dificultad es terriblemente alta,negativo
46,Peor juego,No logré comprender la idea del juego,negativo
47,Peor que no ir vestido de traje a un bar,Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego,negativo
48,"No me calza el precio con la calidad del juego, debería costar mucho más",Quien necesita un sniker cuando tienes el pedazo de juego a tu disposición,positivo
49,Mejor juego o mejor juego,Mejor que manjarate,positivo
50,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Peor que mis laboratorios con margen de error del 1000%,negativo
51,Muy Malo,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta",negativo
52,Em... tenía final el juego?,Honestamente prefiero jugar a mirar el techo,negativo
53,Mejor juego o mejor juego,A mi hijo le encanta,positivo
54,Si tuviera que decidir entre un pato y un conejo este juego sería un conejo,Muy malo,negativo
55,Si tuviera que decidir entre un pato y un conejo este juego sería un conejo,Cómo arruinar tu vida en 1 simple paso: compra este juego,negativo
56,Vine buscando cobre y encontré oro,Horas de diversión para amigos y familia,positivo
57,No entiendo por qué no regalan este juego,Peor que mis laboratorios con margen de error del 1000%,negativo
58,Nisiquiera la mejor de las odas podría describir este juego,Ideal para la pandemia,positivo
59,Pensar que me entusiasmó en un principio...,Terriblemente malo,negativo
60,Se podrá solicitar la devolución del tiempo perdido en este juego?,Peor que mis laboratorios con margen de error del 1000%,negativo
61,"No decepciona, incluso sorprende",A mi hijo le encanta,positivo
62,"No decepciona, incluso sorprende",Horas de diversión para amigos y familia,positivo
63,Fantabuloso,No entiendo el motivo por el cual no han sacado una nueva entrega aún,positivo
64,"No decepciona, incluso sorprende",Muy Entretenido,positivo
65,Se podrá solicitar la devolución del tiempo perdido en este juego?,"Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta",negativo
66,Se podrá solicitar la devolución del tiempo perdido en este juego?,Peor que mis laboratorios con margen de error del 1000%,negativo
67,Si tuviera que decidir entre un pato y un conejo este juego sería un conejo,"Quería procrastinar, de verdad lo intenté, pero antes de jugar este juego prefiero estudiar",negativo
68,Este juego viene directamente de Mordor,Cómo arruinar tu vida en 1 simple paso: compra este juego,negativo
69,Peor juego,Peor que mis laboratorios con margen de error del 1000%,negativo
70,Es más malo que malini,Más malo que la pizza helada,negativo
71,"Podré ser feo, pero definitivamente soy mejor que este juego... ok no",Prefiero estar de acuerdo con sclaper antes que darle un buen review a este juego,negativo
